rmse,rmse_na,res
0,1875.99651741849,0
1713.78979119921,2800.13548550546,100
2171.81506322969,3356.97671971035,200
2441.84157943499,3576.38054907003,300
2651.59972955054,3584.29506183472,400
2797.78952220031,3526.05619448993,500
2902.44899441459,3442.78038481634,600
2982.20188792477,3365.13096257006,700
3047.88060479454,3306.22698237236,800
3101.4777224277,3266.57722667267,900
3144.05653568,3242.89423655315,1000
